Filename,var1,var2,var3,var4,Label,seg_Start,seg_End,t,t_ms,f0,F1,F2,F3,B1,B2,B3,H1u,H2u,H4u,H2Ku,H5Ku,A1u,A2u,A3u,H1H2u,H2H4u,H1A1u,H1A2u,H1A3u,H2KH5Ku,H1c,H2c,H4c,A1c,A2c,A3c,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,CPP,HNR05,HNR15,HNR25,HNR35
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,1,0.790000,81.141,206.957,1051.298,1688.611,115.719,1173.398,1121.037,39.261,42.175,31.011,-15.279,-19.336,39.251,-1.318,-8.957,-2.914,11.164,0.010,40.579,48.218,4.057,38.141,37.528,34.290,33.489,24.626,25.898,0.612,3.238,4.651,13.515,12.242,10.561,16.623,16.518,16.512,16.512
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,2,0.800000,80.078,200.648,977.255,2248.297,100.432,1480.520,1366.049,38.191,40.909,28.864,-16.101,-17.894,38.263,0.271,-18.411,-2.718,12.045,-0.072,37.920,56.602,1.793,36.976,35.660,32.713,31.722,26.936,26.458,1.316,2.947,5.254,10.040,10.518,15.669,16.543,16.568,16.565,16.565
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,3,0.810000,79.574,220.759,1506.316,2764.577,159.926,772.815,1004.246,38.256,39.993,26.346,-3.446,-7.992,36.854,-2.136,-5.578,-1.738,13.647,1.401,40.392,43.834,4.546,37.460,36.944,27.916,32.958,23.199,32.878,0.517,9.028,4.502,14.262,4.582,13.644,11.865,11.457,11.456,11.454
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,4,0.820000,83.334,193.184,642.104,1714.501,3449.097,311.901,495.707,40.391,39.558,32.767,0.639,-5.417,39.558,20.280,1.969,0.834,6.791,0.834,20.112,38.423,6.056,40.286,39.128,30.921,38.976,14.574,11.267,1.158,8.207,1.311,25.712,29.019,14.361,6.172,4.305,4.266,4.265
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,5,0.830000,85.791,451.392,1124.656,1423.516,186.819,251.084,333.280,42.250,41.904,36.599,14.100,-17.039,38.832,33.483,23.284,0.346,5.305,3.418,8.767,18.966,31.140,41.920,40.536,30.378,29.348,34.147,24.804,1.384,10.158,12.572,7.773,17.116,8.953,5.811,3.628,3.575,3.574
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,6,0.840000,84.145,469.436,1162.439,1483.338,160.713,179.288,186.693,42.798,42.338,35.998,8.064,-17.094,41.375,36.077,29.278,0.459,6.340,1.422,6.721,13.520,25.157,42.492,41.073,30.104,30.284,33.514,25.596,1.420,10.968,12.209,8.978,16.896,14.589,7.668,4.263,4.288,4.286
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,7,0.850000,82.713,511.330,1223.899,1516.770,155.189,159.194,197.884,41.494,42.293,31.831,7.385,-16.588,41.653,38.439,33.570,-0.799,10.462,-0.159,3.055,7.924,23.973,41.239,41.241,27.021,29.425,33.711,27.599,-0.002,14.220,11.814,7.528,13.639,16.454,8.971,3.163,3.086,3.084
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,8,0.860000,81.652,536.247,1281.490,1571.323,158.353,126.488,218.139,40.692,42.309,30.354,4.990,-11.831,41.871,40.578,33.921,-1.617,11.954,-1.179,0.114,6.771,16.821,40.465,41.376,26.153,29.391,33.408,27.563,-0.911,15.222,11.074,7.057,12.902,15.051,11.966,5.039,4.774,4.768
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,9,0.870000,80.936,561.524,1353.404,1649.398,155.457,103.683,269.136,40.889,42.291,31.252,20.566,-10.034,42.779,43.438,35.540,-1.402,11.039,-1.890,-2.549,5.349,30.600,40.685,41.453,27.519,29.777,34.225,30.166,-0.769,13.934,10.908,6.460,10.518,11.954,14.860,6.160,5.488,5.477
branning_01_HHH_010,branning,01,HHH,010,branning,0.780000,1.410000,10,0.880000,80.577,566.277,1413.132,1742.601,167.910,108.436,236.479,41.741,42.196,29.724,32.192,-12.596,43.029,42.936,37.231,-0.455,12.472,-1.288,-1.195,4.510,44.788,41.545,41.394,26.174,30.720,34.401,31.645,0.151,15.220,10.825,7.144,9.901,13.960,18.782,7.139,6.421,6.402
